"SYMBOL","Description"
"GCH1","GTP cyclohydrolase 1 (dopa-responsive dystonia)"
"GCK","glucokinase (hexokinase 4, maturity onset diabetes of the young 2)"
"PTPN18","protein tyrosine phosphatase, non-receptor type 18 (brain-derived)"
"KAT2A","GCN5 general control of amino-acid synthesis 5-like 2 (yeast)"
"PLEK2","pleckstrin 2"
"INTS6","integrator complex subunit 6"
"TIMM13","translocase of inner mitochondrial membrane 13 homolog (yeast)"
"TIMM10","translocase of inner mitochondrial membrane 10 homolog (yeast)"
"RGS17","regulator of G-protein signaling 17"
"CKAP2","cytoskeleton associated protein 2"
"MRPL46","mitochondrial ribosomal protein L46"
"SH3YL1","SH3 domain containing, Ysc84-like 1 (S. cerevisiae)"
"AMH","anti-Mullerian hormone"
"GJA1","gap junction protein, alpha 1, 43kDa"
"AKAP8L","A kinase (PRKA) anchor protein 8-like"
"FGF22","fibroblast growth factor 22"
"GJA3","gap junction protein, alpha 3, 46kDa"
"LAT","linker for activation of T cells"
"PPA2","pyrophosphatase (inorganic) 2"
"TAF5L","TAF5-like RNA polymerase II, p300/CBP-associated factor (PCAF)-associated factor, 65kDa"
"EIF2AK1","eukaryotic translation initiation factor 2-alpha kinase 1"
"GK","glycerol kinase"
"DKKL1","dickkopf-like 1 (soggy)"
"DKK4","dickkopf homolog 4 (Xenopus laevis)"
"AFF4","AF4/FMR2 family, member 4"
"INVS","inversin"
"RSPH14","rhabdoid tumor deletion region gene 1"
"GLA","galactosidase, alpha"
"GPKOW","G patch domain and KOW motifs"
"KLHL20","kelch-like 20 (Drosophila)"
"LSM1","LSM1 homolog, U6 small nuclear RNA associated (S. cerevisiae)"
"LSM3","LSM3 homolog, U6 small nuclear RNA associated (S. cerevisiae)"
"TEKT2","tektin 2 (testicular)"
"DIMT1","DIM1 dimethyladenosine transferase 1-like (S. cerevisiae)"
"TOX3","TOX high mobility group box family member 3"
"EIF3K","eukaryotic translation initiation factor 3, subunit K"
"UTP20","UTP20, small subunit (SSU) processome component, homolog (yeast)"
"RRP7A","CGI-96 protein"
"POLL","polymerase (DNA directed), lambda"
"PCSK1N","proprotein convertase subtilisin/kexin type 1 inhibitor"
"GLG1","golgi apparatus protein 1"
"APOBEC3C","apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3C"
"AMPH","amphiphysin"
"GLRA2","glycine receptor, alpha 2"
"GLRX","glutaredoxin (thioltransferase)"
"BIN1","bridging integrator 1"
"GLUL","glutamate-ammonia ligase (glutamine synthetase)"
"GNA11","guanine nucleotide binding protein (G protein), alpha 11 (Gq class)"
"GNAQ","guanine nucleotide binding protein (G protein), q polypeptide"
"GNB1","guanine nucleotide binding protein (G protein), beta polypeptide 1"
"GNB3","guanine nucleotide binding protein (G protein), beta polypeptide 3"
"GNG3","guanine nucleotide binding protein (G protein), gamma 3"
"GNG11","guanine nucleotide binding protein (G protein), gamma 11"
"GNGT1","guanine nucleotide binding protein (G protein), gamma transducing activity polypeptide 1"
"GOLGA3","golgi autoantigen, golgin subfamily a, 3"
"GOT2","glutamic-oxaloacetic transaminase 2, mitochondrial (aspartate aminotransferase 2)"
"SLCO4A1","solute carrier organic anion transporter family, member 4A1"
"CXCR3","chemokine (C-X-C motif) receptor 3"
"MLNR","motilin receptor"
"ANK2","ankyrin 2, neuronal"
"GRB2","growth factor receptor-bound protein 2"
"TRIB2","tribbles homolog 2 (Drosophila)"
"MRPS28","mitochondrial ribosomal protein S28"
"OSTM1","osteopetrosis associated transmembrane protein 1"
"GRN","granulin"
"MRPS18B","mitochondrial ribosomal protein S18B"
"ATAD2","ATPase family, AAA domain containing 2"
"GRIN2C","glutamate receptor, ionotropic, N-methyl D-aspartate 2C"
"GRIN2D","glutamate receptor, ionotropic, N-methyl D-aspartate 2D"
"NDUFAF4","chromosome 6 open reading frame 66"
"MED4","mediator complex subunit 4"
"MRPL15","mitochondrial ribosomal protein L15"
"NR3C1","nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)"
"CNIH4","cornichon homolog 4 (Drosophila)"
"DNAJC15","DnaJ (Hsp40) homolog, subfamily C, member 15"
"SCG3","secretogranin III"
"PYCARD","PYD and CARD domain containing"
"FHOD1","formin homology 2 domain containing 1"
"TBK1","TANK-binding kinase 1"
"LGALS13","lectin, galactoside-binding, soluble, 13 (galectin 13)"
"RACGAP1","Rac GTPase activating protein 1"
"PDIA3","protein disulfide isomerase family A, member 3"
"GSC2","goosecoid-like"
"GSK3B","glycogen synthase kinase 3 beta"
"GSPT1","G1 to S phase transition 1"
"GSR","glutathione reductase"
"GSTA3","glutathione S-transferase A3"
"GSTM5","glutathione S-transferase M5"
"GTF2B","general transcription factor IIB"
"GTF2E1","general transcription factor IIE, polypeptide 1, alpha 56kDa"
"GTF2E2","general transcription factor IIE, polypeptide 2, beta 34kDa"
"GTF2F2","general transcription factor IIF, polypeptide 2, 30kDa"
"GTF2H1","general transcription factor IIH, polypeptide 1, 62kDa"
"GTF2H4","general transcription factor IIH, polypeptide 4, 52kDa"
"GUCA1A","guanylate cyclase activator 1A (retina)"
"UQCR10","ubiquinol-cytochrome c reductase complex (7.2 kD)"
"GUCY2F","guanylate cyclase 2F, retinal"
"ANAPC2","anaphase promoting complex subunit 2"
"CNOT7","CCR4-NOT transcription complex, subunit 7"
"GNL2","guanine nucleotide binding protein-like 2 (nucleolar)"
"SEC61A1","Sec61 alpha 1 subunit (S. cerevisiae)"
"GYPB","glycophorin B (MNS blood group)"
"NRBP1","nuclear receptor binding protein 1"
"MRM2","FtsJ homolog 2 (E. coli)"
"STRN3","striatin, calmodulin binding protein 3"
"PILRA","paired immunoglobin-like type 2 receptor alpha"
"LMCD1","LIM and cysteine-rich domains 1"
"NOP53","glioma tumor suppressor candidate region gene 2"
"GZMH","granzyme H (cathepsin G-like 2, protein h-CCPX)"
"TBX21","T-box 21"
"GZMA","granzyme A (granzyme 1, cytotoxic T-lymphocyte-associated serine esterase 3)"
"GZMB","granzyme B (granzyme 2, cytotoxic T-lymphocyte-associated serine esterase 1)"
"GZMK","granzyme K (granzyme 3; tryptase II)"
"H1-0","H1 histone family, member 0"
"H2AC8","histone cluster 1, H2ae"
"H2AX","H2A histone family, member X"
"H2AZ1","H2A histone family, member Z"
"ANXA1","annexin A1"
"H3-3B","H3 histone, family 3B (H3.3B)"
"HSD17B10","hydroxysteroid (17-beta) dehydrogenase 10"
"HADHB","hydroxyacyl-Coenzyme A dehydrogenase/3-ketoacyl-Coenzyme A thiolase/enoyl-Coenzyme A hydratase (trifunctional protein), beta subunit"
"HBB","hemoglobin, beta"
"HBE1","hemoglobin, epsilon 1"
"HBQ1","hemoglobin, theta 1"
"SERPIND1","serpin peptidase inhibitor, clade D (heparin cofactor), member 1"
"HCK","hemopoietic cell kinase"
"HCLS1","hematopoietic cell-specific Lyn substrate 1"
"HTT","huntingtin (Huntington disease)"
"HDAC1","histone deacetylase 1"
"HDAC2","histone deacetylase 2"
"NT5C","5', 3'-nucleotidase, cytosolic"
"DNTTIP2","deoxynucleotidyltransferase, terminal, interacting protein 2"
"EHD4","EH-domain containing 4"
"PIK3R4","phosphoinositide-3-kinase, regulatory subunit 4, p150"
"HINT1","histidine triad nucleotide binding protein 1"
"ACAA1","acetyl-Coenzyme A acyltransferase 1 (peroxisomal 3-oxoacyl-Coenzyme A thiolase)"
"HK3","hexokinase 3 (white cell)"
"HMGB2","high-mobility group box 2"
"HMGN1","high-mobility group nucleosome binding domain 1"
"HMOX1","heme oxygenase (decycling) 1"
"FOXA1","forkhead box A1"
"HNRNPA1","heterogeneous nuclear ribonucleoprotein A1"
"HNRNPL","heterogeneous nuclear ribonucleoprotein L"
"HOXA11","homeobox A11"
"HOXC8","homeobox C8"
"HPX","hemopexin"
"HRG","histidine-rich glycoprotein"
"APEX1","APEX nuclease (multifunctional DNA repair enzyme) 1"
"HSD17B2","hydroxysteroid (17-beta) dehydrogenase 2"
"DNAJA1","DnaJ (Hsp40) homolog, subfamily A, member 1"
"HSPA2","heat shock 70kDa protein 2"
"HSPA4","heat shock 70kDa protein 4"
"HSPA5","heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa)"
"BIRC3","baculoviral IAP repeat-containing 3"
"HSPA6","heat shock 70kDa protein 6 (HSP70B')"
"HSPA9","heat shock 70kDa protein 9 (mortalin)"
"XIAP","baculoviral IAP repeat-containing 4"
"HSP90AA1","heat shock protein 90kDa alpha (cytosolic), class A member 1"
"HSP90AB1","heat shock protein 90kDa alpha (cytosolic), class B member 1"
"HSPE1","heat shock 10kDa protein 1 (chaperonin 10)"
"DNAJB1","DnaJ (Hsp40) homolog, subfamily B, member 1"
"APLP1","amyloid beta (A4) precursor-like protein 1"
"APOA1","apolipoprotein A-I"
"APOA2","apolipoprotein A-II"
"ICAM1","intercellular adhesion molecule 1 (CD54), human rhinovirus receptor"
"ICAM3","intercellular adhesion molecule 3"
"APOB","apolipoprotein B (including Ag(x) antigen)"
"IRF8","interferon regulatory factor 8"
"MRPL58","immature colon carcinoma transcript 1"
"ID1","inhibitor of DNA binding 1, dominant negative helix-loop-helix protein"
"ACADL","acyl-Coenzyme A dehydrogenase, long chain"
"IDH3A","isocitrate dehydrogenase 3 (NAD+) alpha"
"IDH3G","isocitrate dehydrogenase 3 (NAD+) gamma"
"IFI16","interferon, gamma-inducible protein 16"
"IFI27","interferon, alpha-inducible protein 27"
"IFI35","interferon-induced protein 35"
"SP110","SP110 nuclear body protein"
"IFIT1","interferon-induced protein with tetratricopeptide repeats 1"
"IFIT3","interferon-induced protein with tetratricopeptide repeats 3"
"IFNA1","interferon, alpha 1"
"AQP8","aquaporin 8"
"IFNA2","interferon, alpha 2"
"IFNA8","interferon, alpha 8"
"IFNA10","interferon, alpha 10"
"IFNAR1","interferon (alpha, beta and omega) receptor 1"
"IFNB1","interferon, beta 1, fibroblast"
"IFNG","interferon, gamma"
"IFNGR1","interferon gamma receptor 1"
"APOC3","apolipoprotein C-III"
"IFRD1","interferon-related developmental regulator 1"
"TUBB2B","tubulin, beta 2B"
"IGFBP1","insulin-like growth factor binding protein 1"
"NUP43","nucleoporin 43kDa"
"APOE","apolipoprotein E"
"IGFBP7","insulin-like growth factor binding protein 7"
"APOH","apolipoprotein H (beta-2-glycoprotein I)"
"JCHAIN","immunoglobulin J polypeptide, linker protein for immunoglobulin alpha and mu polypeptides"
"APP","amyloid beta (A4) precursor protein (peptidase nexin-II, Alzheimer disease)"
"IL1A","interleukin 1, alpha"
"IL1B","interleukin 1, beta"
"IL2","interleukin 2"
"IL2RB","interleukin 2 receptor, beta"
"IL3","interleukin 3 (colony-stimulating factor, multiple)"
"IL4","interleukin 4"
"IL6","interleukin 6 (interferon, beta 2)"
"FASLG","Fas ligand (TNF superfamily, member 6)"
"IL7R","interleukin 7 receptor"
"CXCL8","interleukin 8"
"CXCR1","interleukin 8 receptor, alpha"
"IL10","interleukin 10"
"IL10RB","interleukin 10 receptor, beta"
"IL13","interleukin 13"
"IL13RA1","interleukin 13 receptor, alpha 1"
"AQP2","aquaporin 2 (collecting duct)"
"IL18","interleukin 18 (interferon-gamma-inducing factor)"
"ILF2","interleukin enhancer binding factor 2, 45kDa"
"ILF3","interleukin enhancer binding factor 3, 90kDa"
"IMPDH2","IMP (inosine monophosphate) dehydrogenase 2"
"IDO1","indoleamine-pyrrole 2,3 dioxygenase"
"CXCL10","chemokine (C-X-C motif) ligand 10"
"INPP4A","inositol polyphosphate-4-phosphatase, type I, 107kDa"
"INSR","insulin receptor"
"EIF3E","eukaryotic translation initiation factor 3, subunit E"
"IRAK1","interleukin-1 receptor-associated kinase 1"
"IRF1","interferon regulatory factor 1"
"IRF3","interferon regulatory factor 3"
"IRF7","interferon regulatory factor 7"
"IRS1","insulin receptor substrate 1"
"ISG20","interferon stimulated exonuclease gene 20kDa"
"AQP9","aquaporin 9"
"ITGA2","integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)"
"ITGA2B","integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41)"
"ITGA3","integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)"
"ITGA5","integrin, alpha 5 (fibronectin receptor, alpha polypeptide)"
"AR","androgen receptor (dihydrotestosterone receptor; testicular feminization; spinal and bulbar muscular atrophy; Kennedy disease)"
"ITGA9","integrin, alpha 9"
"ITGAV","integrin, alpha V (vitronectin receptor, alpha polypeptide, antigen CD51)"
"ABCC6","ATP-binding cassette, sub-family C (CFTR/MRP), member 6"
"ITGB4","integrin, beta 4"
"EIF6","eukaryotic translation initiation factor 6"
"ITGB5","integrin, beta 5"
"ITGB6","integrin, beta 6"
"ITGB7","integrin, beta 7"
"ITGB8","integrin, beta 8"
"ITIH2","inter-alpha (globulin) inhibitor H2"
"ARAF","v-raf murine sarcoma 3611 viral oncogene homolog"
"ITIH4","inter-alpha (globulin) inhibitor H4 (plasma Kallikrein-sensitive glycoprotein)"
"ITPR1","inositol 1,4,5-triphosphate receptor, type 1"
"IVL","involucrin"
"JAK2","Janus kinase 2 (a protein tyrosine kinase)"
"JARID2","jumonji, AT rich interactive domain 2"
"JUN","jun oncogene"
"CD82","CD82 molecule"
"KARS1","lysyl-tRNA synthetase"
"NDUFS7","NADH dehydrogenase (ubiquinone) Fe-S protein 7, 20kDa (NADH-coenzyme Q reductase)"
"KCND1","potassium voltage-gated channel, Shal-related subfamily, member 1"
"KCNH1","potassium voltage-gated channel, subfamily H (eag-related), member 1"
"KCNJ3","potassium inwardly-rectifying channel, subfamily J, member 3"
"KCNQ1","potassium voltage-gated channel, KQT-like subfamily, member 1"
"KCNQ2","potassium voltage-gated channel, KQT-like subfamily, member 2"
"CENPS","apoptosis-inducing, TAF9-like domain 1"
"KISS1","KiSS-1 metastasis-suppressor"
"KIT","v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog"
"ARF5","ADP-ribosylation factor 5"
"KLRB1","killer cell lectin-like receptor subfamily B, member 1"
"ARF6","ADP-ribosylation factor 6"
"KIFC1","kinesin family member C1"
"KIF22","kinesin family member 22"
"ARG1","arginase, liver"
"TNPO1","transportin 1"
"KRAS","v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog"
"ARG2","arginase, type II"
"KRT7","keratin 7"
"KRT14","keratin 14 (epidermolysis bullosa simplex, Dowling-Meara, Koebner)"
"KRT18","keratin 18"
"KRT19","keratin 19"
"KRT33A","keratin 33A"
"RHOB","ras homolog gene family, member B"
"KTN1","kinectin 1 (kinesin receptor)"
"RHOC","ras homolog gene family, member C"
"LAG3","lymphocyte-activation gene 3"
"PRAMEF12","PRAME family member 12"
"RND3","Rho family GTPase 3"
"LAMA4","laminin, alpha 4"
"LAMA5","laminin, alpha 5"
"LAMB1","laminin, beta 1"
"LAMC1","laminin, gamma 1 (formerly LAMB2)"
"LBP","lipopolysaccharide binding protein"
"LCAT","lecithin-cholesterol acyltransferase"
"LCN1","lipocalin 1 (tear prealbumin)"
"LCP2","lymphocyte cytosolic protein 2 (SH2 domain containing leukocyte protein of 76kDa)"
"LGALS1","lectin, galactoside-binding, soluble, 1 (galectin 1)"
"LGALS2","lectin, galactoside-binding, soluble, 2"
"LIG1","ligase I, DNA, ATP-dependent"
"ARHGDIG","Rho GDP dissociation inhibitor (GDI) gamma"
"KNOP1","similar to TSG118.1"
"LOX","lysyl oxidase"
"LSP1","lymphocyte-specific protein 1"
"CYP4F3","cytochrome P450, family 4, subfamily F, polypeptide 3"
"LTBP3","latent transforming growth factor beta binding protein 3"
"LTF","lactotransferrin"
"LUM","lumican"
"LY6E","lymphocyte antigen 6 complex, locus E"
"LY75","lymphocyte antigen 75"
"EPCAM","tumor-associated calcium signal transducer 1"
"M6PR","mannose-6-phosphate receptor (cation dependent)"
"MAD2L1","MAD2 mitotic arrest deficient-like 1 (yeast)"
"SMAD2","SMAD family member 2"
"SMAD3","SMAD family member 3"
"SMAD4","SMAD family member 4"
"ARRB1","arrestin, beta 1"
"SMAD7","SMAD family member 7"
"MAGEA1","melanoma antigen family A, 1 (directs expression of antigen MZ2-E)"
"ARSA","arylsulfatase A"
"MAOB","monoamine oxidase B"
"STS","steroid sulfatase (microsomal), isozyme S"
"MARS1","methionyl-tRNA synthetase"
"MAZ","MYC-associated zinc finger protein (purine-binding transcription factor)"
"MBNL1","muscleblind-like (Drosophila)"
"MCM2","minichromosome maintenance complex component 2"
"MCM4","minichromosome maintenance complex component 4"
"MCM5","minichromosome maintenance complex component 5"
"MCM6","minichromosome maintenance complex component 6"
"MCM7","minichromosome maintenance complex component 7"
"ADAM11","ADAM metallopeptidase domain 11"
"MDH2","malate dehydrogenase 2, NAD (mitochondrial)"
"MDM2","Mdm2, transformed 3T3 cell double minute 2, p53 binding protein (mouse)"
"MEFV","Mediterranean fever"
"MAP3K5","mitogen-activated protein kinase kinase kinase 5"
"RAB8A","RAB8A, member RAS oncogene family"
"MEST","mesoderm specific transcript homolog (mouse)"
"MFAP1","microfibrillar-associated protein 1"
"MGP","matrix Gla protein"
"MIF","macrophage migration inhibitory factor (glycosylation-inhibiting factor)"
"CXCL9","chemokine (C-X-C motif) ligand 9"
"MITF","microphthalmia-associated transcription factor"
"MKI67","antigen identified by monoclonal antibody Ki-67"
"MKLN1","muskelin 1, intracellular mediator containing kelch motifs"
"MAP3K11","mitogen-activated protein kinase kinase kinase 11"
"MLLT1","myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 1"
"MMP1","matrix metallopeptidase 1 (interstitial collagenase)"
"MMP2","matrix metallopeptidase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)"
"MMP3","matrix metallopeptidase 3 (stromelysin 1, progelatinase)"
"MMP8","matrix metallopeptidase 8 (neutrophil collagenase)"
"MMP11","matrix metallopeptidase 11 (stromelysin 3)"
"MMP14","matrix metallopeptidase 14 (membrane-inserted)"
"MMP15","matrix metallopeptidase 15 (membrane-inserted)"
"MNAT1","menage a trois homolog 1, cyclin H assembly factor (Xenopus laevis)"
"MNT","MAX binding protein"
"MPG","N-methylpurine-DNA glycosylase"
"MPO","myeloperoxidase"
"ASL","argininosuccinate lyase"
"MT2A","metallothionein 2A"
"MT3","metallothionein 3"
"MTIF2","mitochondrial translational initiation factor 2"
"MMUT","methylmalonyl Coenzyme A mutase"
"MX1","myxovirus (influenza virus) resistance 1, interferon-inducible protein p78 (mouse)"
"MX2","myxovirus (influenza virus) resistance 2 (mouse)"
"MYBL2","v-myb myeloblastosis viral oncogene homolog (avian)-like 2"
"GADD45B","growth arrest and DNA-damage-inducible, beta"
"MYH9","myosin, heavy chain 9, non-muscle"
"MYL6","myosin, light chain 6, alkali, smooth muscle and non-muscle"
"MYOC","myocilin, trabecular meshwork inducible glucocorticoid response"
"NARS1","asparaginyl-tRNA synthetase"
"NASP","nuclear autoantigenic sperm protein (histone-binding)"
"ATF3","activating transcription factor 3"
"CEACAM6","carcinoembryonic antigen-related cell adhesion molecule 6 (non-specific cross reacting antigen)"
"NBN","nibrin"
"NCBP1","nuclear cap binding protein subunit 1, 80kDa"
"NDUFA1","NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 1, 7.5kDa"
"NDUFA2","NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 2, 8kDa"
"NDUFA3","NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 3, 9kDa"
"NDUFA7","NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 7, 14.5kDa"
"NDUFA8","NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 8, 19kDa"
"NDUFA9","NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 9, 39kDa"
"NDUFA10","NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 10, 42kDa"
"NDUFB2","NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 2, 8kDa"
"NDUFB3","NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 3, 12kDa"
"NDUFB4","NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 4, 15kDa"
"NDUFB5","NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 5, 16kDa"
"NDUFB6","NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 6, 17kDa"
"NDUFB7","NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 7, 18kDa"
"NDUFB8","NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 8, 19kDa"
"NDUFC2","NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 2, 14.5kDa"
"ATIC","5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase"
"NDUFS2","NADH dehydrogenase (ubiquinone) Fe-S protein 2, 49kDa (NADH-coenzyme Q reductase)"
"NDUFS3","NADH dehydrogenase (ubiquinone) Fe-S protein 3, 30kDa (NADH-coenzyme Q reductase)"
"NDUFS4","NADH dehydrogenase (ubiquinone) Fe-S protein 4, 18kDa (NADH-coenzyme Q reductase)"
"NDUFS6","NADH dehydrogenase (ubiquinone) Fe-S protein 6, 13kDa (NADH-coenzyme Q reductase)"
"NDUFV2","NADH dehydrogenase (ubiquinone) flavoprotein 2, 24kDa"
"ATM","ataxia telangiectasia mutated"
"NEDD8","neural precursor cell expressed, developmentally down-regulated 8"
"NEFM","neurofilament, medium polypeptide 150kDa"
"NEK2","NIMA (never in mitosis gene a)-related kinase 2"
"NFKB1","nuclear factor of kappa light polypeptide gene enhancer in B-cells 1 (p105)"
"NFKBIA","nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha"
"NFKBIE","nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, epsilon"
"ATP12A","ATPase, H+/K+ transporting, nongastric, alpha polypeptide"
"NFYB","nuclear transcription factor Y, beta"
"NGFR","nerve growth factor receptor (TNFR superfamily, member 16)"
"SNU13","NHP2 non-histone chromosome protein 2-like 1 (S. cerevisiae)"
"ATP1B1","ATPase, Na+/K+ transporting, beta 1 polypeptide"
"NME1","non-metastatic cells 1, protein (NM23A) expressed in"
"NME3","non-metastatic cells 3, protein expressed in"
"NME4","non-metastatic cells 4, protein expressed in"
"NOS3","nitric oxide synthase 3 (endothelial cell)"
"CNOT2","CCR4-NOT transcription complex, subunit 2"
"NOTCH2","Notch homolog 2 (Drosophila)"
"PNP","nucleoside phosphorylase"
"NPM1","nucleophosmin (nucleolar phosphoprotein B23, numatrin)"
"NRAS","neuroblastoma RAS viral (v-ras) oncogene homolog"
"ACO1","aconitase 1, soluble"
"YBX1","Y box binding protein 1"
"NT5E","5'-nucleotidase, ecto (CD73)"
"NTHL1","nth endonuclease III-like 1 (E. coli)"
"NTRK1","neurotrophic tyrosine kinase, receptor, type 1"
"NTS","neurotensin"
"NUP98","nucleoporin 98kDa"
"ATP2B3","ATPase, Ca++ transporting, plasma membrane 3"
"OAS1","2',5'-oligoadenylate synthetase 1, 40/46kDa"
"OAS2","2'-5'-oligoadenylate synthetase 2, 69/71kDa"
"OAS3","2'-5'-oligoadenylate synthetase 3, 100kDa"
"OAT","ornithine aminotransferase (gyrate atrophy)"
"ODC1","ornithine decarboxylase 1"
"ATP5F1A","ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle"
"ORC1","origin recognition complex, subunit 1-like (yeast)"
"ORC2","origin recognition complex, subunit 2-like (yeast)"
"ORM1","orosomucoid 1"
"OSM","oncostatin M"
"OTC","ornithine carbamoyltransferase"
"CLDN11","claudin 11 (oligodendrocyte transmembrane protein)"
"OXCT1","3-oxoacid CoA transferase 1"
"OXT","oxytocin, prepro- (neurophysin I)"
"P4HA1","procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide I"
"P4HB","procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), beta polypeptide"
"PA2G4","proliferation-associated 2G4, 38kDa"
"PLA2G3","phospholipase A2, group III"
"NOX3","NADPH oxidase 3"
"PRDX1","peroxiredoxin 1"
"SERPINE1","serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1"
"SERPINB2","serpin peptidase inhibitor, clade B (ovalbumin), member 2"
"ITSN2","intersectin 2"
"PAX5","paired box 5"
"TRAT1","T cell receptor associated transmembrane adaptor 1"
"PARD6A","par-6 partitioning defective 6 homolog alpha (C. elegans)"
"HEBP1","heme binding protein 1"
"PBX2","pre-B-cell leukemia homeobox 2"
"IMPG2","interphotoreceptor matrix proteoglycan 2"
"PCBP2","poly(rC) binding protein 2"
"ATP5F1C","ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1"
"ACO2","aconitase 2, mitochondrial"
"MED31","mediator complex subunit 31"
"DERL2","Der1-like domain family, member 2"
"ISOC1","isochorismatase domain containing 1"
"RRP15","ribosomal RNA processing 15 homolog (S. cerevisiae)"
"MRPS16","mitochondrial ribosomal protein S16"
"MRPS18C","mitochondrial ribosomal protein S18C"
"FIS1","fission 1 (mitochondrial outer membrane) homolog (S. cerevisiae)"
"ZNF593","zinc finger protein 593"
"PRLH","prolactin releasing hormone"
"GMNN","geminin, DNA replication inhibitor"
"RPS27L","ribosomal protein S27-like"
"MRPL2","mitochondrial ribosomal protein L2"
"PCK2","phosphoenolpyruvate carboxykinase 2 (mitochondrial)"
"MRPL4","mitochondrial ribosomal protein L4"
"FCF1","FCF1 small subunit (SSU) processome component homolog (S. cerevisiae)"
"NDUFA13","NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 13"
"MRPS7","mitochondrial ribosomal protein S7"
"POLR1D","polymerase (RNA) I polypeptide D, 16kDa"
"GAL","galanin prepropeptide"
"PLLP","plasma membrane proteolipid (plasmolipin)"
"UTP18","UTP18, small subunit (SSU) processome component, homolog (yeast)"
"NDUFAF1","NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, assembly factor 1"
"KMT5B","suppressor of variegation 4-20 homolog 1 (Drosophila)"
"UTP11","UTP11-like, U3 small nucleolar ribonucleoprotein, (yeast)"
"PCNA","proliferating cell nuclear antigen"
"SAR1B","SAR1 gene homolog B (S. cerevisiae)"
"DYNC1LI1","dynein, cytoplasmic 1, light intermediate chain 1"
"MRNIP","hypothetical LOC51149"
"SLC45A2","solute carrier family 45, member 2"
"MRTO4","mRNA turnover 4 homolog (S. cerevisiae)"
"RSL24D1","chromosome 15 open reading frame 15"
"HERC5","hect domain and RLD 5"
"DDX47","DEAD (Asp-Glu-Ala-Asp) box polypeptide 47"
"GP6","glycoprotein VI (platelet)"
"GOLM1","golgi membrane protein 1"
"SCAND1","SCAN domain containing 1"
"GMIP","GEM interacting protein"
"TLR8","toll-like receptor 8"
"NME8","thioredoxin domain containing 3 (spermatozoa)"
"SPG21","spastic paraplegia 21 (autosomal recessive, Mast syndrome)"
"MS4A4A","membrane-spanning 4-domains, subfamily A, member 4"
"PDCD1","programmed cell death 1"
"MRPS17","mitochondrial ribosomal protein S17"
"ATP6V1D","ATPase, H+ transporting, lysosomal 34kDa, V1 subunit D"
"WNT16","wingless-type MMTV integration site family, member 16"
"NIP7","nuclear import 7 homolog (S. cerevisiae)"
"ATP5F1D","ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit"
"NOL7","nucleolar protein 7, 27kDa"
"PDE3B","phosphodiesterase 3B, cGMP-inhibited"
"ACTL6B","actin-like 6B"
"PDE4B","phosphodiesterase 4B, cAMP-specific (phosphodiesterase E4 dunce homolog, Drosophila)"
"ANAPC5","anaphase promoting complex subunit 5"
"REV1","REV1 homolog (S. cerevisiae)"
"RTCB","chromosome 22 open reading frame 28"
"ATP5F1E","ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit"
"RTF2","chromosome 20 open reading frame 43"
