"SYMBOL","ENTREZID","Description"
"RASAL1",8437,"RAS protein activator like 1 (GAP1 like)"
"RAD54L",8438,"RAD54-like (S. cerevisiae)"
"NSMAF",8439,"neutral sphingomyelinase (N-SMase) activation associated factor"
"CASP10",843,"caspase 10, apoptosis-related cysteine peptidase"
"GNPAT",8443,"glyceronephosphate O-acyltransferase"
"DOT1L",84444,"DOT1-like, histone H3 methyltransferase (S. cerevisiae)"
"DYRK2",8445,"dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 2"
"DUSP11",8446,"dual specificity phosphatase 11 (RNA/RNP complex 1-interacting)"
"DOC2A",8448,"double C2-like domains, alpha"
"DHX16",8449,"DEAH (Asp-Glu-Ala-His) box polypeptide 16"
"CASQ1",844,"calsequestrin 1 (fast-twitch, skeletal muscle)"
"CUL4B",8450,"cullin 4B"
"DCTN5",84516,"dynactin 5 (p25)"
"CUL4A",8451,"cullin 4A"
"HOPX",84525,"HOP homeobox"
"CUL3",8452,"cullin 3"
"CUL2",8453,"cullin 2"
"MAK16",84549,"RNA binding motif protein 13"
"CUL1",8454,"cullin 1"
"ATRN",8455,"attractin"
"MT4",84560,"metallothionein 4"
"SLC12A8",84561,"solute carrier family 12 (potassium/chloride transporters), member 8"
"FOXN1",8456,"forkhead box N1"
"TTF2",8458,"transcription termination factor, RNA polymerase II"
"TPST2",8459,"tyrosylprotein sulfotransferase 2"
"CASQ2",845,"calsequestrin 2 (cardiac muscle)"
"TPST1",8460,"tyrosylprotein sulfotransferase 1"
"PARD6B",84612,"par-6 partitioning defective 6 homolog beta (C. elegans)"
"TUBB6",84617,"tubulin, beta 6"
"ZGPAT",84619,"zinc finger, CCCH-type with G patch domain"
"KLF11",8462,"Kruppel-like factor 11"
"SUPT3H",8464,"suppressor of Ty 3 homolog (S. cerevisiae)"
"GLYR1",84656,"cytokine-like nuclear factor n-pac"
"ADGRE3",84658,"egf-like module containing, mucin-like, hormone receptor-like 3"
"SMARCA5",8467,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5"
"FKBP6",8468,"FK506 binding protein 6, 36kDa"
"CASR",846,"calcium-sensing receptor (hypocalciuric hypercalcemia 1, severe neonatal hyperparathyroidism)"
"GTPBP3",84705,"GTP binding protein 3 (mitochondrial)"
"SORBS2",8470,"sorbin and SH3 domain containing 2"
"IRS4",8471,"insulin receptor substrate 4"
"PIGO",84720,"phosphatidylinositol glycan anchor biosynthesis, class O"
"PSRC1",84722,"proline/serine-rich coiled-coil 1"
"CBX2",84733,"chromobox homolog 2 (Pc class homolog, Drosophila)"
"OGT",8473,"O-linked N-acetylglucosamine (GlcNAc) transferase (UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase)"
"UNC119B",84747,"unc-119 homolog B (C. elegans)"
"PCGF1",84759,"polycomb group ring finger 1"
"CDC42BPA",8476,"CDC42 binding protein kinase alpha (DMPK-like)"
"NAA11",84779,"ARD1 homolog B (S. cerevisiae)"
"TUBA1C",84790,"tubulin, alpha 1c"
"HIRIP3",8479,"HIRA interacting protein 3"
"CAT",847,"catalase"
"RAE1",8480,"RAE1 RNA export 1 homolog (S. pombe)"
"IL17RC",84818,"interleukin 17 receptor C"
"OFD1",8481,"oral-facial-digital syndrome 1"
"LMNB2",84823,"lamin B2"
"SEMA7A",8482,"semaphorin 7A, GPI membrane anchor (John Milton Hagen blood group)"
"CILP",8483,"cartilage intermediate layer protein, nucleotide pyrophosphohydrolase"
"GALR3",8484,"galanin receptor 3"
"KLHL22",84861,"kelch-like 22 (Drosophila)"
"RIOX2",84864,"MYC induced nuclear antigen"
"CBR4",84869,"carbonyl reductase 4"
"GEMIN2",8487,"survival of motor neuron protein interacting protein 1"
"ADO",84890,"chromosome 10 open reading frame 22"
"NFATC2IP",84901,"nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 2 interacting protein"
"FAM136A",84908,"family with sequence similarity 136, member A"
"AOPEP",84909,"chromosome 9 open reading frame 3"
"RGS5",8490,"regulator of G-protein signaling 5"
"MAP4K3",8491,"mitogen-activated protein kinase kinase kinase kinase 3"
"TMEM209",84928,"hypothetical protein FLJ14803"
"PRSS12",8492,"protease, serine, 12 (neurotrypsin, motopsin)"
"RITA1",84934,"chromosome 12 open reading frame 52"
"PWWP3A",84939,"melanoma associated antigen (mutated) 1"
"PPM1D",8493,"protein phosphatase 1D magnesium-dependent, delta isoform"
"WDR73",84942,"WD repeat domain 73"
"TNS4",84951,"tensin 4"
"PPFIBP2",8495,"PTPRF interacting protein, binding protein 2 (liprin beta 2)"
"PPFIBP1",8496,"PTPRF interacting protein, binding protein 1 (liprin beta 1)"
"MFSD5",84975,"major facilitator superfamily domain containing 5"
"PPFIA4",8497,"protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 4"
"ARHGAP19",84986,"Rho GTPase activating protein 19"
"RANBP3",8498,"RAN binding protein 3"
"PPFIA2",8499,"protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 2"
"PPFIA1",8500,"protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 1"
"SLC43A1",8501,"solute carrier family 43, member 1"
"PKP4",8502,"plakophilin 4"
"PIK3R3",8503,"phosphoinositide-3-kinase, regulatory subunit 3 (p55, gamma)"
"PEX3",8504,"peroxisomal biogenesis factor 3"
"CNTNAP1",8506,"contactin associated protein 1"
"ENC1",8507,"ectodermal-neural cortex (with BTB-like domain)"
"NIPSNAP1",8508,"nipsnap homolog 1 (C. elegans)"
"NDST2",8509,"N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 2"
"LIPF",8513,"lipase, gastric"
"KCNAB2",8514,"potassium voltage-gated channel, shaker-related subfamily, beta member 2"
"ITGA10",8515,"integrin, alpha 10"
"ITGA8",8516,"integrin, alpha 8"
"ELP1",8518,"inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase complex-associated protein"
"IFITM1",8519,"interferon induced transmembrane protein 1 (9-27)"
"HAT1",8520,"histone acetyltransferase 1"
"GCM1",8521,"glial cells missing homolog 1 (Drosophila)"
"GAS7",8522,"growth arrest-specific 7"
"H2BC12",85236,"histone cluster 1, H2bk"
"DGKZ",8525,"diacylglycerol kinase, zeta 104kDa"
"DGKE",8526,"diacylglycerol kinase, epsilon 64kDa"
"DGKD",8527,"diacylglycerol kinase, delta 130kDa"
"CYP4F2",8529,"cytochrome P450, family 4, subfamily F, polypeptide 2"
"CST7",8530,"cystatin F (leukocystatin)"
"YBX3",8531,"cold shock domain protein A"
"CPZ",8532,"carboxypeptidase Z"
"COPS3",8533,"COP9 constitutive photomorphogenic homolog subunit 3 (Arabidopsis)"
"CHST1",8534,"carbohydrate (keratan sulfate Gal-6) sulfotransferase 1"
"CBX4",8535,"chromobox homolog 4 (Pc class homolog, Drosophila)"
"TRIM5",85363,"tripartite motif-containing 5"
"CAMK1",8536,"calcium/calmodulin-dependent protein kinase I"
"MICALL1",85377,"MICAL-like 1"
"BCAS1",8537,"breast carcinoma amplified sequence 1"
"API5",8539,"apoptosis inhibitor 5"
"AGPS",8540,"alkylglycerone phosphate synthase"
"PPFIA3",8541,"protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 3"
"APOL1",8542,"apolipoprotein L, 1"
"LMO4",8543,"LIM domain only 4"
"PIR",8544,"pirin (iron-binding nuclear protein)"
"CFAP74",85452,"KIAA1751"
"TSPYL5",85453,"TSPY-like 5"
"DIXDC1",85458,"DIX domain containing 1"
"CGGBP1",8545,"CGG triplet repeat binding protein 1"
"AP3B1",8546,"adaptor-related protein complex 3, beta 1 subunit"
"SCIN",85477,"scinderin"
"FCN3",8547,"ficolin (collagen/fibrinogen domain containing) 3 (Hakata antigen)"
"LGR5",8549,"leucine-rich repeat-containing G protein-coupled receptor 5"
"MAPKAPK5",8550,"mitogen-activated protein kinase-activated protein kinase 5"
"BHLHE40",8553,"basic helix-loop-helix domain containing, class B, 2"
"PIAS1",8554,"protein inhibitor of activated STAT, 1"
"CDC14B",8555,"CDC14 cell division cycle 14 homolog B (S. cerevisiae)"
"CDC14A",8556,"CDC14 cell division cycle 14 homolog A (S. cerevisiae)"
"TCAP",8557,"titin-cap (telethonin)"
"CDK10",8558,"cyclin-dependent kinase (CDC2-like) 10"
"PRPF18",8559,"PRP18 pre-mRNA processing factor 18 homolog (S. cerevisiae)"
"DEGS1",8560,"degenerative spermatocyte homolog 1, lipid desaturase (Drosophila)"
"DENR",8562,"density-regulated protein"
"THOC5",8563,"THO complex 5"
"KMO",8564,"kynurenine 3-monooxygenase (kynurenine 3-hydroxylase)"
"YARS1",8565,"tyrosyl-tRNA synthetase"
"PDXK",8566,"pyridoxal (pyridoxine, vitamin B6) kinase"
"MADD",8567,"MAP-kinase activating death domain"
"RRP1",8568,"ribosomal RNA processing 1 homolog (S. cerevisiae)"
"MKNK1",8569,"MAP kinase interacting serine/threonine kinase 1"
"KHSRP",8570,"KH-type splicing regulatory protein (FUSE binding protein 2)"
"PDLIM4",8572,"PDZ and LIM domain 4"
"CASK",8573,"calcium/calmodulin-dependent serine protein kinase (MAGUK family)"
"AKR7A2",8574,"aldo-keto reductase family 7, member A2 (aflatoxin aldehyde reductase)"
"PRKRA",8575,"protein kinase, interferon-inducible double stranded RNA dependent activator"
"SCARF1",8578,"scavenger receptor class F, member 1"
"CAV1",857,"caveolin 1, caveolae protein, 22kDa"
"CAV2",858,"caveolin 2"
"OR6A2",8590,"olfactory receptor, family 6, subfamily A, member 2"
"CAV3",859,"caveolin 3"
"TNFSF11",8600,"tumor necrosis factor (ligand) superfamily, member 11"
"RGS20",8601,"regulator of G-protein signaling 20"
"NOP14",8602,"nucleolar protein 14"
"FAM193A",8603,"chromosome 4 open reading frame 8"
"SLC25A12",8604,"solute carrier family 25 (mitochondrial carrier, Aralar), member 12"
"PLA2G4C",8605,"phospholipase A2, group IVC (cytosolic, calcium-independent)"
"RUVBL1",8607,"RuvB-like 1 (E. coli)"
"RDH16",8608,"retinol dehydrogenase 16 (all-trans)"
"RUNX2",860,"runt-related transcription factor 2"
"PLPP1",8611,"phosphatidic acid phosphatase type 2A"
"PLPP2",8612,"phosphatidic acid phosphatase type 2C"
"PLPP3",8613,"phosphatidic acid phosphatase type 2B"
"STC2",8614,"stanniocalcin 2"
"USO1",8615,"USO1 homolog, vesicle docking protein (yeast)"
"CADPS",8618,"Ca2+-dependent secretion activator"
"RUNX1",861,"runt-related transcription factor 1 (acute myeloid leukemia 1; aml1 oncogene)"
"NPFF",8620,"neuropeptide FF-amide peptide precursor"
"CDK13",8621,"cell division cycle 2-like 5 (cholinesterase-related cell division controller)"
"PDE8B",8622,"phosphodiesterase 8B"
"PSMG1",8624,"Down syndrome critical region gene 2"
"RFXANK",8625,"regulatory factor X-associated ankyrin-containing protein"
"TP63",8626,"tumor protein p63"
"RUNX1T1",862,"runt-related transcription factor 1; translocated to, 1 (cyclin D-related)"
"HSD17B6",8630,"hydroxysteroid (17-beta) dehydrogenase 6 homolog (mouse)"
"SKAP1",8631,"src kinase associated phosphoprotein 1"
"DNAH17",8632,"dynein, axonemal, heavy chain 17"
"UNC5C",8633,"unc-5 homolog C (C. elegans)"
"RTCA",8634,"RNA terminal phosphate cyclase domain 1"
"RNASET2",8635,"ribonuclease T2"
"SSNA1",8636,"Sjogren's syndrome nuclear autoantigen 1"
"OASL",8638,"2'-5'-oligoadenylate synthetase-like"
"AOC3",8639,"amine oxidase, copper containing 3 (vascular adhesion protein 1)"
"CBFA2T3",863,"core-binding factor, runt domain, alpha subunit 2; translocated to, 3"
"DCHS1",8642,"dachsous 1 (Drosophila)"
"PTCH2",8643,"patched homolog 2 (Drosophila)"
"AKR1C3",8644,"aldo-keto reductase family 1, member C3 (3-alpha hydroxysteroid dehydrogenase, type II)"
"KCNK5",8645,"potassium channel, subfamily K, member 5"
"CHRD",8646,"chordin"
"ABCB11",8647,"ATP-binding cassette, sub-family B (MDR/TAP), member 11"
"NCOA1",8648,"nuclear receptor coactivator 1"
"LAMTOR3",8649,"mitogen-activated protein kinase kinase 1 interacting protein 1"
"RUNX3",864,"runt-related transcription factor 3"
"NUMB",8650,"numb homolog (Drosophila)"
"SOCS1",8651,"suppressor of cytokine signaling 1"
"DDX3Y",8653,"DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, Y-linked"
"PDE5A",8654,"phosphodiesterase 5A, cGMP-specific"
"DYNLL1",8655,"dynein, light chain, LC8-type 1"
"TNKS",8658,"tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase"
"ALDH4A1",8659,"aldehyde dehydrogenase 4 family, member A1"
"CBFB",865,"core-binding factor, beta subunit"
"IRS2",8660,"insulin receptor substrate 2"
"EIF3A",8661,"eukaryotic translation initiation factor 3, subunit A"
"EIF3B",8662,"eukaryotic translation initiation factor 3, subunit B"
"EIF3D",8664,"eukaryotic translation initiation factor 3, subunit D"
"EIF3G",8666,"eukaryotic translation initiation factor 3, subunit G"
"EIF3H",8667,"eukaryotic translation initiation factor 3, subunit H"
"EIF3I",8668,"eukaryotic translation initiation factor 3, subunit I"
"EIF3J",8669,"eukaryotic translation initiation factor 3, subunit J"
"SERPINA6",866,"serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 6"
"SLC4A4",8671,"solute carrier family 4, sodium bicarbonate cotransporter, member 4"
"EIF4G3",8672,"eukaryotic translation initiation factor 4 gamma, 3"
"VAMP8",8673,"vesicle-associated membrane protein 8 (endobrevin)"
"VAMP4",8674,"vesicle-associated membrane protein 4"
"STX16",8675,"syntaxin 16"
"STX11",8676,"syntaxin 11"
"STX10",8677,"syntaxin 10"
"BECN1",8678,"beclin 1 (coiled-coil, myosin-like BCL2 interacting protein)"
"CBL",867,"Cas-Br-M (murine) ecotropic retroviral transforming sequence"
"JMJD7-PLA2G4B",8681,"phospholipase A2, group IVB (cytosolic)"
"PEA15",8682,"phosphoprotein enriched in astrocytes 15"
"SRSF9",8683,"splicing factor, arginine/serine-rich 9"
"MARCO",8685,"macrophage receptor with collagenous structure"
"KRT38",8687,"keratin 38"
"CBLB",868,"Cas-Br-M (murine) ecotropic retroviral transforming sequence b"
"HYAL2",8692,"hyaluronoglucosaminidase 2"
"GALNT4",8693,"UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 4 (GalNAc-T4)"
"DGAT1",8694,"diacylglycerol O-acyltransferase homolog 1 (mouse)"
"CDC23",8697,"cell division cycle 23 homolog (S. cerevisiae)"
"S1PR4",8698,"endothelial differentiation, lysophosphatidic acid G-protein-coupled receptor, 6"
"CBLN1",869,"cerebellin 1 precursor"
"ACTL6A",86,"actin-like 6A"
"B4GALT4",8702,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 4"
"B4GALT3",8703,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 3"
"B4GALT2",8704,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 2"
"B3GALT4",8705,"UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 4"
"B3GALNT1",8706,"beta-1,3-N-acetylgalactosaminyltransferase 1 (globoside blood group)"
"B3GALT2",8707,"UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 2"
"B3GALT1",8708,"UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 1"
"ABCC3",8714,"ATP-binding cassette, sub-family C (CFTR/MRP), member 3"
"TRADD",8717,"TNFRSF1A-associated via death domain"
"TNFRSF25",8718,"tumor necrosis factor receptor superfamily, member 25"
"SERPINH1",871,"serpin peptidase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1)"
"MBTPS1",8720,"membrane-bound transcription factor peptidase, site 1"
"EDF1",8721,"endothelial differentiation-related factor 1"
"CTSF",8722,"cathepsin F"
"SNX4",8723,"sorting nexin 4"
"SNX3",8724,"sorting nexin 3"
"URI1",8725,"chromosome 19 open reading frame 2"
"EED",8726,"embryonic ectoderm development"
"CTNNAL1",8727,"catenin (cadherin-associated protein), alpha-like 1"
"ADAM19",8728,"ADAM metallopeptidase domain 19 (meltrin beta)"
"GBF1",8729,"golgi-specific brefeldin A resistance factor 1"
"RNMT",8731,"RNA (guanine-7-) methyltransferase"
"RNGTT",8732,"RNA guanylyltransferase and 5'-phosphatase"
"GPAA1",8733,"glycosylphosphatidylinositol anchor attachment protein 1 homolog (yeast)"
"MYH13",8735,"myosin, heavy chain 13, skeletal muscle"
"MYOM1",8736,"myomesin 1, 185kDa"
"RIPK1",8737,"receptor (TNFRSF)-interacting serine-threonine kinase 1"
"CRADD",8738,"CASP2 and RIPK1 domain containing adaptor with death domain"
"HRK",8739,"harakiri, BCL2 interacting protein (contains only BH3 domain)"
"CBR1",873,"carbonyl reductase 1"
"TNFSF14",8740,"tumor necrosis factor (ligand) superfamily, member 14"
"TNFSF12",8742,"tumor necrosis factor (ligand) superfamily, member 12"
"TNFSF10",8743,"tumor necrosis factor (ligand) superfamily, member 10"
"TNFSF9",8744,"tumor necrosis factor (ligand) superfamily, member 9"
"ADAM23",8745,"ADAM metallopeptidase domain 23"
"ADAM21",8747,"ADAM metallopeptidase domain 21"
"ADAM20",8748,"ADAM metallopeptidase domain 20"
"CBR3",874,"carbonyl reductase 3"
"ADAM15",8751,"ADAM metallopeptidase domain 15"
"ADAM9",8754,"ADAM metallopeptidase domain 9 (meltrin gamma)"
"CBS",875,"cystathionine-beta-synthase"
"CDS2",8760,"CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 2"
"PABPC4",8761,"poly(A) binding protein, cytoplasmic 4 (inducible form)"
"CD164",8763,"CD164 molecule, sialomucin"
"TNFRSF14",8764,"tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator)"
"RAB11A",8766,"RAB11A, member RAS oncogene family"
"RIPK2",8767,"receptor-interacting serine-threonine kinase 2"
"TNFRSF6B",8771,"tumor necrosis factor receptor superfamily, member 6b, decoy"
"FADD",8772,"Fas (TNFRSF6)-associated via death domain"
"SNAP23",8773,"synaptosomal-associated protein, 23kDa"
"NAPG",8774,"N-ethylmaleimide-sensitive factor attachment protein, gamma"
"NAPA",8775,"N-ethylmaleimide-sensitive factor attachment protein, alpha"
"MTMR1",8776,"myotubularin related protein 1"
"MPDZ",8777,"multiple PDZ domain protein"
"RIOK3",8780,"RIO kinase 3 (yeast)"
"MATN4",8785,"matrilin 4"
"RGS11",8786,"regulator of G-protein signaling 11"
"RGS9",8787,"regulator of G-protein signaling 9"
"DLK1",8788,"delta-like 1 homolog (Drosophila)"
"FBP2",8789,"fructose-1,6-bisphosphatase 2"
"FPGT",8790,"fucose-1-phosphate guanylyltransferase"
"TNFRSF11A",8792,"tumor necrosis factor receptor superfamily, member 11a, NFKB activator"
"TNFRSF10D",8793,"tumor necrosis factor receptor superfamily, member 10d, decoy with truncated death domain"
"TNFRSF10C",8794,"tumor necrosis factor receptor superfamily, member 10c, decoy without an intracellular domain"
"TNFRSF10B",8795,"tumor necrosis factor receptor superfamily, member 10b"
"SCEL",8796,"sciellin"
"DYRK4",8798,"dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 4"
"PEX11B",8799,"peroxisomal biogenesis factor 11B"
"ACTN1",87,"actinin, alpha 1"
"PEX11A",8800,"peroxisomal biogenesis factor 11A"
"SUCLG2",8801,"succinate-CoA ligase, GDP-forming, beta subunit"
"SUCLG1",8802,"succinate-CoA ligase, GDP-forming, alpha subunit"
"SUCLA2",8803,"succinate-CoA ligase, ADP-forming, beta subunit"
"CREG1",8804,"cellular repressor of E1A-stimulated genes 1"
"TRIM24",8805,"tripartite motif-containing 24"
"IL18RAP",8807,"interleukin 18 receptor accessory protein"
"IL1RL2",8808,"interleukin 1 receptor-like 2"
"IL18R1",8809,"interleukin 18 receptor 1"
"GALR2",8811,"galanin receptor 2"
"CCNK",8812,"cyclin K"
"DPM1",8813,"dolichyl-phosphate mannosyltransferase polypeptide 1, catalytic subunit"
"BANF1",8815,"barrier to autointegration factor 1"
"FGF18",8817,"fibroblast growth factor 18"
"DPM2",8818,"dolichyl-phosphate mannosyltransferase polypeptide 2, regulatory subunit"
"SAP30",8819,"Sin3A-associated protein, 30kDa"
"CCIN",881,"calicin"
"HESX1",8820,"HESX homeobox 1"
"INPP4B",8821,"inositol polyphosphate-4-phosphatase, type II, 105kDa"
"FGF17",8822,"fibroblast growth factor 17"
"FGF16",8823,"fibroblast growth factor 16"
"CES2",8824,"carboxylesterase 2 (intestine, liver)"
"LIN7A",8825,"lin-7 homolog A (C. elegans)"
"IQGAP1",8826,"IQ motif containing GTPase activating protein 1"
"NRP2",8828,"neuropilin 2"
"NRP1",8829,"neuropilin 1"
"CD84",8832,"CD84 molecule"
"TMEM11",8834,"transmembrane protein 11"
"SOCS2",8835,"suppressor of cytokine signaling 2"
"GGH",8836,"gamma-glutamyl hydrolase (conjugase, folylpolygammaglutamyl hydrolase)"
"CFLAR",8837,"CASP8 and FADD-like apoptosis regulator"
"CCN6",8838,"WNT1 inducible signaling pathway protein 3"
"CCN5",8839,"WNT1 inducible signaling pathway protein 2"
"KYAT1",883,"cysteine conjugate-beta lyase; cytoplasmic (glutamine transaminase K, kyneurenine aminotransferase)"
"CCN4",8840,"WNT1 inducible signaling pathway protein 1"
"HDAC3",8841,"histone deacetylase 3"
"PROM1",8842,"prominin 1"
"KSR1",8844,"kinase suppressor of ras 1"
"ALKBH1",8846,"alkB, alkylation repair homolog 1 (E. coli)"
"TSC22D1",8848,"TSC22 domain family, member 1"
"KAT2B",8850,"p300/CBP-associated factor"
"CDK5R1",8851,"cyclin-dependent kinase 5, regulatory subunit 1 (p35)"
"AKAP4",8852,"A kinase (PRKA) anchor protein 4"
"ASAP2",8853,"development and differentiation enhancing factor 2"
"ALDH1A2",8854,"aldehyde dehydrogenase 1 family, member A2"
"NR1I2",8856,"nuclear receptor subfamily 1, group I, member 2"
"FCGBP",8857,"Fc fragment of IgG binding protein"
"PROZ",8858,"protein Z, vitamin K-dependent plasma glycoprotein"
"STK19",8859,"serine/threonine kinase 19"
"CCK",885,"cholecystokinin"
"LDB1",8861,"LIM domain binding 1"
"PER3",8863,"period homolog 3 (Drosophila)"
"PER2",8864,"period homolog 2 (Drosophila)"
"SYNJ1",8867,"synaptojanin 1"
"ST3GAL5",8869,"ST3 beta-galactoside alpha-2,3-sialyltransferase 5"
"CCKAR",886,"cholecystokinin A receptor"
"IER3",8870,"immediate early response 3"
"SYNJ2",8871,"synaptojanin 2"
"CDC123",8872,"cell division cycle 123 homolog (S. cerevisiae)"
"ARHGEF7",8874,"Rho guanine nucleotide exchange factor (GEF) 7"
"VNN2",8875,"vanin 2"
"VNN1",8876,"vanin 1"
"SPHK1",8877,"sphingosine kinase 1"
"SQSTM1",8878,"sequestosome 1"
"SGPL1",8879,"sphingosine-1-phosphate lyase 1"
"CCKBR",887,"cholecystokinin B receptor"
"FUBP1",8880,"far upstream element (FUSE) binding protein 1"
"CDC16",8881,"cell division cycle 16 homolog (S. cerevisiae)"
"ZPR1",8882,"zinc finger protein 259"
"NAE1",8883,"amyloid beta precursor protein binding protein 1"
"DDX18",8886,"DEAD (Asp-Glu-Ala-Asp) box polypeptide 18"
"TAX1BP1",8887,"Tax1 (human T-cell leukemia virus type I) binding protein 1"
"MCM3AP",8888,"minichromosome maintenance complex component 3 associated protein"
"EIF2B4",8890,"eukaryotic translation initiation factor 2B, subunit 4 delta, 67kDa"
"EIF2B3",8891,"eukaryotic translation initiation factor 2B, subunit 3 gamma, 58kDa"
"EIF2B2",8892,"eukaryotic translation initiation factor 2B, subunit 2 beta, 39kDa"
"EIF2B5",8893,"eukaryotic translation initiation factor 2B, subunit 5 epsilon, 82kDa"
"EIF2S2",8894,"eukaryotic translation initiation factor 2, subunit 2 beta, 38kDa"
"BUD31",8896,"BUD31 homolog (S. cerevisiae)"
"MTMR3",8897,"myotubularin related protein 3"
"MTMR2",8898,"myotubularin related protein 2"
"PRP4K",8899,"PRP4 pre-mRNA processing factor 4 homolog B (yeast)"
"KRIT1",889,"KRIT1, ankyrin repeat containing"
"ACTN2",88,"actinin, alpha 2"
"CCNA1",8900,"cyclin A1"
"AP1S2",8905,"adaptor-related protein complex 1, sigma 2 subunit"
"AP1G2",8906,"adaptor-related protein complex 1, gamma 2 subunit"
"GYG2",8908,"glycogenin 2"
"ENDOU",8909,"26 serine protease"
"CCNA2",890,"cyclin A2"
"SGCE",8910,"sarcoglycan, epsilon"
"CACNA1I",8911,"calcium channel, voltage-dependent, T type, alpha 1I subunit"
"CACNA1H",8912,"calcium channel, voltage-dependent, T type, alpha 1H subunit"
"CACNA1G",8913,"calcium channel, voltage-dependent, T type, alpha 1G subunit"
"TIMELESS",8914,"timeless homolog (Drosophila)"
"BCL10",8915,"B-cell CLL/lymphoma 10"
"HERC3",8916,"hect domain and RLD 3"
"CCNB1",891,"cyclin B1"
"HERC2",8924,"hect domain and RLD 2"
"HERC1",8925,"hect (homologous to the E6-AP (UBE3A) carboxyl terminus) domain and RCC1 (CHC1)-like domain (RLD) 1"
"BSN",8927,"bassoon (presynaptic cytomatrix protein)"
"FOXH1",8928,"forkhead box H1"
"PHOX2B",8929,"paired-like homeobox 2b"
"CCNC",892,"cyclin C"
"MBD4",8930,"methyl-CpG binding domain protein 4"
"MBD2",8932,"methyl-CpG binding domain protein 2"
"RTL8C",8933,"family with sequence similarity 127, member A"
"RAB29",8934,"RAB7, member RAS oncogene family-like 1"
"SKAP2",8935,"src kinase associated phosphoprotein 2"
"WASF1",8936,"WAS protein family, member 1"
"BAIAP3",8938,"BAI1-associated protein 3"
"FUBP3",8939,"far upstream element (FUSE) binding protein 3"
"TOP3B",8940,"topoisomerase (DNA) III beta"
"CDK5R2",8941,"cyclin-dependent kinase 5, regulatory subunit 2 (p39)"
"KYNU",8942,"kynureninase (L-kynurenine hydrolase)"
"AP3D1",8943,"adaptor-related protein complex 3, delta 1 subunit"
"BTRC",8945,"beta-transducin repeat containing"
"CCND2",894,"cyclin D2"
"H3C7",8968,"histone cluster 1, H3f"
"H2AC11",8969,"histone cluster 1, H2ag"
"CCND3",896,"cyclin D3"
"H1-10",8971,"H1 histone family, member X"
"MGAM",8972,"maltase-glucoamylase (alpha-glucosidase)"
"CHRNA6",8973,"cholinergic receptor, nicotinic, alpha 6"
"P4HA2",8974,"procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide II"
"USP13",8975,"ubiquitin specific peptidase 13 (isopeptidase T-3)"
"WASL",8976,"Wiskott-Aldrich syndrome-like"
"HPS4",89781,"Hermansky-Pudlak syndrome 4"
"NAV3",89795,"neuron navigator 3"
"NAV2",89797,"neuron navigator 2"
"MVB12B",89853,"family with sequence similarity 125, member B"
"PLOD3",8985,"procollagen-lysine, 2-oxoglutarate 5-dioxygenase 3"
"RPS6KA4",8986,"ribosomal protein S6 kinase, 90kDa, polypeptide 4"
"SLC25A21",89874,"solute carrier family 25 (mitochondrial oxodicarboxylate carrier), member 21"
"STBD1",8987,"starch binding domain 1"
"HSPB3",8988,"heat shock 27kDa protein 3"
"TRPA1",8989,"transient receptor potential cation channel, subfamily A, member 1"
"CCNE1",898,"cyclin E1"
"UBE3B",89910,"ubiquitin protein ligase E3B"
"SELENBP1",8991,"selenium binding protein 1"
"BMERB1",89927,"chromosome 16 open reading frame 45"
"ATP6V0E1",8992,"ATPase, H+ transporting, lysosomal 9kDa, V0 subunit e1"
"PGLYRP1",8993,"peptidoglycan recognition protein 1"
"RHOT2",89941,"ras homolog gene family, member T2"
